task_id	title	module	java_path	type
2740	Port `org.apache.lucene.classification.document.KNearestNeighborDocumentClassifier`	classification	classification/src/java/org/apache/lucene/classification/document/KNearestNeighborDocumentClassifier.java	TASK
2741	Port `org.apache.lucene.classification.document.SimpleNaiveBayesDocumentClassifier`	classification	classification/src/java/org/apache/lucene/classification/document/SimpleNaiveBayesDocumentClassifier.java	TASK
2742	Port `org.apache.lucene.classification.document.DocumentClassifier`	classification	classification/src/java/org/apache/lucene/classification/document/DocumentClassifier.java	TASK
2743	Port `org.apache.lucene.classification.CachingNaiveBayesClassifier`	classification	classification/src/java/org/apache/lucene/classification/CachingNaiveBayesClassifier.java	TASK
2744	Port `org.apache.lucene.classification.BooleanPerceptronClassifier`	classification	classification/src/java/org/apache/lucene/classification/BooleanPerceptronClassifier.java	TASK
2745	Port `org.apache.lucene.classification.BM25NBClassifier`	classification	classification/src/java/org/apache/lucene/classification/BM25NBClassifier.java	TASK
2746	Port `org.apache.lucene.classification.KNearestNeighborClassifier`	classification	classification/src/java/org/apache/lucene/classification/KNearestNeighborClassifier.java	TASK
2747	Port `org.apache.lucene.classification.ClassificationResult`	classification	classification/src/java/org/apache/lucene/classification/ClassificationResult.java	TASK
2748	Port `org.apache.lucene.classification.KNearestFuzzyClassifier`	classification	classification/src/java/org/apache/lucene/classification/KNearestFuzzyClassifier.java	TASK
2749	Port `org.apache.lucene.classification.SimpleNaiveBayesClassifier`	classification	classification/src/java/org/apache/lucene/classification/SimpleNaiveBayesClassifier.java	TASK
2750	Port `org.apache.lucene.classification.Classifier`	classification	classification/src/java/org/apache/lucene/classification/Classifier.java	TASK
2751	Port `org.apache.lucene.classification.utils.DocToDoubleVectorUtils`	classification	classification/src/java/org/apache/lucene/classification/utils/DocToDoubleVectorUtils.java	TASK
2752	Port `org.apache.lucene.classification.utils.NearestFuzzyQuery`	classification	classification/src/java/org/apache/lucene/classification/utils/NearestFuzzyQuery.java	TASK
