sprint_idx	task_id
1	3206
1	3207
1	3208
1	3209
1	3210
1	3211
1	3212
1	3213
1	3214
1	3215
1	3216
1	3217
1	3218
1	3219
1	3220
1	3221
1	3222
1	3223
1	3224
1	3225
1	3226
1	3227
1	3228
1	3229
1	3230
1	3231
1	3232
1	3233
1	3234
1	3235
1	3236
1	3237
1	3238
1	3239
1	3240
1	3983
1	3984
1	3985
1	3986
1	3987
1	3988
1	3989
1	3990
1	3991
1	3992
1	3993
1	3994
1	3995
1	3996
1	3997
1	3998
1	3999
1	4000
1	4001
1	4002
1	4003
1	4004
1	4005
1	4006
1	4007
1	4008
1	4009
1	4010
1	4011
1	4012
1	4013
1	4014
1	4015
1	4016
1	4017
1	4018
1	4019
1	4020
1	4021
1	4022
2	3424
2	3425
2	3426
2	3427
2	3428
2	3429
2	3430
2	3431
2	3432
2	3433
2	3434
2	3435
2	3436
2	3437
2	3438
2	3439
2	3440
2	3441
2	3442
2	3443
2	3444
2	3445
2	3446
2	3447
2	3448
2	3449
2	3450
2	3451
2	3452
2	3453
2	3454
2	3455
2	3456
2	3457
2	3458
2	3459
2	3460
2	3461
2	3462
2	3463
2	3464
2	3465
2	3466
2	3467
2	3468
2	3469
2	3470
2	3471
2	3472
2	4280
2	4281
2	4282
2	4283
2	4284
2	4285
2	4286
2	4287
2	4288
2	4289
2	4290
2	4291
2	4292
2	4293
2	4294
2	4295
2	4296
2	4297
2	4298
2	4299
2	4300
2	4301
2	4302
2	4303
2	4304
2	4305
2	4306
2	4307
2	4308
2	4309
2	3409
2	3410
2	3411
2	3473
2	3474
2	3475
2	3476
2	3477
2	3478
2	4271
2	4272
2	4273
2	4274
2	4275
2	3412
2	3413
2	3414
2	3415
2	3416
2	3417
2	3418
2	3419
2	4276
2	3420
2	3421
2	3422
2	3423
2	3479
2	3480
2	3481
2	3482
2	3483
2	3484
2	3485
2	3486
2	3487
2	3488
2	3489
2	4277
2	4278
3	3323
3	3324
3	3325
3	3326
3	3327
3	3328
3	3329
3	3330
3	3331
3	3332
3	3333
3	3334
3	3335
3	3336
3	3337
3	4112
3	4113
3	4114
3	4115
3	4116
3	4117
3	4118
3	4119
3	4120
3	4121
3	4122
3	4123
3	4124
3	4125
3	4126
3	4127
3	4128
3	4129
3	4130
3	4131
3	4132
3	4133
3	4134
3	4135
3	3338
3	3339
3	3340
3	3341
3	3342
3	3343
3	3344
3	3345
3	3346
3	3347
3	3348
3	3349
3	3350
3	3351
3	3352
3	3353
3	3354
3	3355
3	3356
3	3357
3	3358
3	3359
3	3360
3	3361
3	3362
3	3363
3	3364
3	3365
3	3366
3	3367
3	3368
3	3369
3	3370
3	3371
3	3372
3	3373
3	3374
3	3375
3	3376
3	3377
3	3378
3	3379
3	3380
3	3381
3	3382
3	3383
3	3384
3	3385
3	3386
3	3387
3	3388
3	3389
3	3390
3	3391
3	3392
3	3393
3	3394
3	3395
3	3396
3	3397
4	4136
4	4137
4	4138
4	4139
4	4140
4	4141
4	4142
4	4143
4	4144
4	4145
4	4146
4	4147
4	4148
4	4149
4	4150
4	4151
4	4152
4	4153
4	4154
4	4155
4	4156
4	4157
4	4158
4	4159
4	4160
4	4161
4	4162
4	4163
4	4164
4	4165
4	4166
4	4167
4	4168
4	4169
4	4170
4	4171
4	4172
4	4173
4	4174
4	4175
4	4176
4	4177
4	4178
4	4179
4	4180
4	4181
4	4182
4	4183
4	4184
4	4185
4	4186
4	4187
4	4188
4	4189
4	4190
4	4191
4	4192
4	4193
4	4194
4	4195
4	4196
4	4197
4	4198
4	4199
4	4200
4	4201
4	4202
4	4203
4	4204
4	4205
4	4206
4	4207
4	4208
4	4209
4	4210
4	4211
4	4212
4	4213
4	4214
4	4215
4	4216
4	4217
4	4218
4	4219
4	4220
4	4221
4	4222
4	4223
4	4224
4	4225
4	4226
4	4227
4	4228
4	4229
4	4230
4	4231
4	4232
4	4233
4	4234
4	4235
4	4236
4	4237
4	4238
4	4239
4	4240
4	4241
4	4242
4	4243
4	4244
4	4245
4	4246
4	4247
4	4248
4	4249
4	4250
4	4251
4	4252
4	4253
4	4254
4	4255
5	4256
5	4257
5	4258
5	4259
5	4260
5	4261
5	4262
6	3241
6	3242
6	3243
6	3244
6	3245
6	3246
6	3247
6	3248
6	3249
6	3250
6	3251
6	3252
6	3253
6	3254
6	3255
6	3256
6	3257
6	3258
6	3259
6	3260
6	3261
6	3262
6	3263
6	3264
6	3265
6	3266
6	3267
6	3268
6	3269
6	3270
6	3271
6	3272
6	3273
6	3274
6	3275
6	3276
6	3277
6	3278
6	3279
6	3280
6	3281
6	3282
